id,calories,proteins,fat,carbohydrate,name,label
1,280.0,9.2,28.4,0.0,Abon,Non-Vegetarian
2,513.0,23.7,37.0,21.3,Abon haruwan,Non-Vegetarian
3,0.0,0.0,0.2,0.0,Agar-agar,Vegan
4,45.0,1.1,0.4,10.8,Akar tonjong segar,Vegan
5,37.0,4.4,0.5,3.8,Aletoge segar,Vegan
6,85.0,0.9,6.5,7.7,Alpukat segar,Vegan
7,96.0,3.7,0.6,19.1,Ampas kacang hijau,Vegan
8,414.0,26.6,18.3,41.3,Ampas Tahu,Vegan
9,75.0,4.1,2.1,10.7,Ampas tahu kukus,Vegan
10,67.0,5.0,2.1,8.1,Ampas tahu mentah,Vegan
11,184.0,18.8,14.0,0.0,Anak sapi daging gemuk segar,Non-Vegetarian
12,174.0,19.6,10.0,0.0,Anak sapi daging kurus segar,Non-Vegetarian
13,190.0,19.1,12.0,0.0,Anak sapi daging sedang segar,Non-Vegetarian
14,99.0,4.6,1.0,18.0,Andaliman segar,Vegan
15,25.0,1.6,0.2,5.3,Andewi,Vegan
16,30.0,0.5,0.2,6.8,Anggur hutan segar,Vegan
17,354.0,16.4,31.5,0.0,Angsa,Non-Vegetarian
18,126.0,3.4,7.9,10.3,Anyang sayur,Vegan
19,58.0,0.3,0.4,14.9,Apel,Vegan
20,57.0,0.5,0.4,12.8,Apel malang segar,Vegan
21,37.0,0.8,0.5,8.3,Arbei,Vegan
22,113.0,0.9,7.2,11.2,Ares sayur,Vegan
23,102.0,1.0,0.2,24.1,Arrowroot segar,Vegan
24,277.0,2.4,25.0,10.7,Arwan sirsir,Vegan
25,75.0,0.2,1.1,16.1,Asam kandis segar,Vegan
26,239.0,2.8,0.6,62.5,Asam masak di pohon,Vegan
27,135.0,0.8,0.4,32.1,Asam payak segar,Vegan
28,261.0,0.9,1.6,63.3,Asan kandis kering,Vegan
29,98.0,3.9,2.6,14.8,Asinan Bogor sayuran,Vegan
30,302.0,18.2,25.0,0.0,Ayam,Non-Vegetarian
31,297.0,35.9,15.2,1.6,Ayam  goreng Kentuckysayap,Non-Vegetarian
32,270.0,32.3,11.2,9.9,Ayam ampela goreng,Non-Vegetarian
33,75.0,13.8,1.9,0.7,Ayam dideh/darah segar,Non-Vegetarian
34,295.0,34.0,16.0,1.5,Ayam goreng church texa sayap,Non-Vegetarian
35,338.0,35.2,20.6,0.4,Ayam goreng church texas dada,Non-Vegetarian
36,275.0,37.4,12.2,1.3,Ayam goreng kalasan paha,Non-Vegetarian
37,298.0,34.2,16.8,0.1,Ayam goreng kentucky dada,Non-Vegetarian
38,286.0,32.1,16.1,1.1,Ayam goreng Kentucky paha,Non-Vegetarian
39,295.0,39.2,13.6,1.0,Ayam goreng mbok berek dada,Non-Vegetarian
40,287.0,31.0,15.7,1.7,Ayam goreng paha,Non-Vegetarian
41,246.0,37.9,9.0,0.7,Ayam goreng pasundan dada,Non-Vegetarian
42,245.0,33.1,11.4,0.3,Ayam goreng pasundan paha,Non-Vegetarian
43,295.0,37.4,14.7,0.6,Ayam goreng pioneer dada,Non-Vegetarian
44,244.0,36.7,9.2,1.0,Ayam goreng sukabumi dada,Non-Vegetarian
45,283.0,35.7,14.3,0.5,Ayam goreng sukabumi paha,Non-Vegetarian
46,261.0,27.4,16.1,1.6,Ayam hati segar,Non-Vegetarian
47,264.0,18.2,20.1,2.7,Ayam taliwang masakan,Non-Vegetarian
48,473.0,45.2,26.3,13.9,Ayam usus goreng,Non-Vegetarian
49,113.0,17.6,4.2,0.0,Babat,Non-Vegetarian
50,453.0,11.9,45.0,0.0,Babi daging gemuk segar,Non-Vegetarian
